id,handle,type,depth_ps,geo_age_ps,geo_age_lb,geo_age_ub,set_age_default,x,y,set_year
14270,BASSK,Settlement_30515,43,90.792665,62.8903925,122.862755625,107,90982.3483906685,1024720.70558696,93
14403,SALLIE,Ambrosia rise_30747,48,82.506518,57.304722375,139.9440795,107,39523.7422069894,1209660.75208467,80
14435,MNPPJL,Ambrosia rise_30798,30,98.55025,51.49548225,139.5687015,107,64521.7856262943,1056154.65291163,93
14535,LILY,Settlement_31012,101,109.373129,80.73621755,229.3417658625,90,172806.603751008,900362.916952259,96
14537,KELLYDUD,Settlement_31020,30,92.45518,66.09972,124.08008,90,196745.946548147,915414.927218457,95
14539,MARTHA,Settlement_31029,67,530.23942,77.83600775,949.764385,90,178686.46401102,1006111.62596011,92
14626,MINNREG,Settlement_31270,45,106.28634,21.055695,223.60152,90,204994.092643534,952398.525767773,96
14631,AMBER,Settlement_31289,58,97.047758,72.803104425,137.0013358,106,97770.6557846897,844749.98277805,96
14633,CAMP,Settlement_31297,54,97.4008885,73.77122715,142.5455822,106,151459.501589684,1012019.10822585,93
14635,CRYSTAL,Settlement_31305,53,109.8574075,81.59623675,155.1175217375,122,208606.184523449,911575.845994256,96
14637,FISHL,Settlement_31313,50,91.85256,64.568956,124.32799,100,171303.258385007,904668.670269736,96
14639,FISHS,Settlement_31322,69,103.4917405,74.9140121875,220.738160625,100,193496.337612673,949170.937198225,95
14641,EAGLEL,Settlement_31331,91,176.06274525,81.349414375,951.8326375,98,158575.794273149,971375.84276955,94
14643,EMILY_NE,Settlement_31339,101,252.2196695,91.5962238925,450.894813875,98,152853.918780473,916560.285063892,96
14645,FULLER,Settlement_31347,53,96.647265,68.2188616,146.95816275,98,156698.403940334,1040482.08819966,94
20311,ELKGR-89,Ambrosia rise_40962,780,89.74314,48.430084,135.29551525,98,30803.9316649491,1109009.43546265,82
15167,MNCLEB,Ambrosia rise_32741,17.5,86.754525,37.30416,148.937051,98,97540.3846250611,1247722.5106476,71
15168,MNCLEC,Ambrosia rise_32743,25,96.603,37.31322375,172.5148,98,97540.3846250611,1247722.5106476,71
15169,MNCLE4,Ambrosia rise_32745,27.5,95.47635,50.525659825,168.194388125,98,97540.3846250611,1247722.5106476,71
15219,MNCLED,Ambrosia rise_32920,32,68.81492748,41.8402908,110.533006,98,97540.3846250611,1247722.5106476,71
15269,MNCLEL,Ambrosia rise_33099,46.5,59.5525975,46.388028125,71.4113149625,98,97540.3846250611,1247722.5106476,71
15228,MNBCSC,Settlement_32947,54,89.512252,42.9772238,151.3687614,98,41243.7975616644,1212941.49212861,79
15252,MNCLSQ,Ambrosia rise_33053,6.05,58.759165,32.5522992625,84.379229375,98,94074.418584051,1252639.05704606,75
15254,MNCHLH,Ambrosia rise_33056,35,97.6988475,43.984507875,194.279445875,98,236972.432076886,1049095.51006458,96
15256,MNOTCL,Ambrosia rise_33058,35,105.4047,51.066936,196.046385,98,72526.2581222338,1136196.64939661,79
15266,MNCVTL,Settlement_33096,96.65,109.5742965,83.19755644375,159.774762413375,98,182979.152403488,975467.605857048,95
15273,MNWSSO,Ambrosia rise_33146,802,140.683485,88.46710625,887.69916425,98,186355.283264272,866078.761291319,96
15294,MNHNLL,Ambrosia rise_33215,840,167.9985535,102.8813714625,313.48996,98,190736.788508905,987371.703300735,95
15318,MNHNWB,Ambrosia rise_33312,11.5,92.867835,58.45775,127.026145,98,189531.962237401,989198.010662575,95
287,BLUMOUND,Presettlement_paleon,11,17.5288564111,-32.4834920543632,91.0964701825677,153,462142.995999269,745549.409074632,116
546,DARKLAKE,Presettlement_paleon,150,134.838312,101.4877557,178.4926996,148,356758.938046272,1000213.39674261,43
684,DEVILSWI,Presettlement_paleon,22.5,67.17146,0.572132156250002,177.25254925,303,476056.304345733,781730.52752116,104
3081,DISTRHFT,Presettlement_paleon,80,108.026,-34.0097375,255.2745,1070,525722.182500445,833581.658372948,99
860,GASS,Presettlement_paleon,60,106.6946313105,7.92531240644948,225.37549335025,395,641295.111114483,840927.292239302,116
