"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"TROUTLBG","Trout Lake Bog",15316,-29,3870,"Calibrated radiocarbon years BP",TRUE,-29,3325,NA,NA,FALSE
"COWDEN","Cowden Lake",15487,156,2344,"Calibrated radiocarbon years BP",TRUE,-54,2546,NA,NA,FALSE
"HICKSMI","Hicks Lake",15492,70,2672,"Calibrated radiocarbon years BP",TRUE,-54,2714,NA,NA,FALSE
"MORRIMI","Morrison Lake",15511,107,2247,"Calibrated radiocarbon years BP",TRUE,-54,2055,NA,NA,FALSE
"BUCKMI","Buck Lake",15660,-34,8393,"Calibrated radiocarbon years BP",TRUE,-33,5700,NA,NA,TRUE
"KERRMI","Kerr Lake",15916,865,8621,"Calibrated radiocarbon years BP",TRUE,-44,7520,NA,NA,FALSE
"CROOKEDN","Crooked Lake",15919,-12,10136,"Calibrated radiocarbon years BP",TRUE,-44,10110,NA,NA,FALSE
"JAYLAKE","Jay Lake",15922,36,10360,"Calibrated radiocarbon years BP",TRUE,-46,9280,NA,NA,FALSE
"LORRAINE","Lorraine Lake",17404,-30,10120,"Radiocarbon years BP",TRUE,-30,9500,NA,NA,TRUE
"PENEGOR","Penegor Lake",17406,-35,8670,"Radiocarbon years BP",TRUE,-35,8670,NA,NA,TRUE
