id sitename handle lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 783.426039695641 765 56.5 2 0 33 3 0 0 18 1 18 179 2 2
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 820.416271239853 807 59.5 4 0 19 0 1 2 14 0 26 128 3 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 883.853107018165 876 64.5 12 0 18 2 0 1 30 1 22 145 7 2
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 935.348091412946 931 68.5 8 0 31 1 1 2 36 1 33 109 5 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 948.241790312652 945 69.5 6 0 45 0 2 2 39 0 27 135 2 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 987.081912332418 987 72.5 2 0 29 0 4 2 54 0 27 116 3 4
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1042.32018823121 1048 76.5 4 0 36 3 3 1 34 0 25 183 7 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1100.75581224107 1107 79.5 2 0 47 4 0 1 62 1 49 244 3 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1120.23435357769 1127 80.5 4 0 31 1 0 0 32 1 32 132 10 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1200.72845114373 1207 84.5 4 0 31 0 1 1 26 0 26 119 3 2
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1280.72996301148 1286 88.5 2 0 39 2 0 1 25 0 23 167 7 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1360.29189610295 1365 92.5 4 1 39 0 3 4 14 2 23 170 4 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1439.53545546578 1445 96.5 2 0 31 7 1 1 26 0 29 153 5 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1496.62195312441 1504 99.5 4 0 51 3 1 2 36 0 35 164 0 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1534.94561504349 1544 101.5 4 0 42 4 1 3 16 0 26 153 6 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1613.18891976162 1624 105.5 10 0 31 3 1 0 42 0 24 119 3 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1689.49058921996 1703 109.5 6 0 26 2 1 3 61 1 26 145 0 4
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1765.09809373705 1782 113.5 4 0 37 3 1 2 51 0 27 135 2 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1840.40573650006 1862 117.5 22 0 27 7 0 3 59 0 35 141 2 0
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1878.01806732429 1901 119.5 12 0 54 0 0 3 68 0 35 118 0 1
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1915.55191030009 1941 121.5 8 1 62 12 0 4 54 1 43 121 2 2
CLH3 Hell Hole HELLHOLE 45.7865 -92.219 WI 299 Radiocarbon 1990.14866916109 2021 125.5 8 0 40 4 0 2 54 0 19 131 2 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 95.3629443245058 72 17.5 9 0 98 13 0 7 72 3.5 54 313 6 0
