"id","handle","lat","long","state","state2","x","y","set.year"
10091,"MNCLEB",47.18919,-95.21787,"minnesota","minnesota",97540.3846250611,1247722.5106476,1879
10091,"MNCLEC",47.18919,-95.21787,"minnesota","minnesota",97540.3846250611,1247722.5106476,1879
10091,"MNCLE4",47.18919,-95.21787,"minnesota","minnesota",97540.3846250611,1247722.5106476,1879
10091,"MNCLED",47.18919,-95.21787,"minnesota","minnesota",97540.3846250611,1247722.5106476,1879
10091,"MNCLEL",47.18919,-95.21787,"minnesota","minnesota",97540.3846250611,1247722.5106476,1879
10121,"MNBCSC",46.80338,-95.88068,"minnesota","minnesota",41243.7975616644,1212941.49212861,1871
10132,"MNCLSQ",47.22823,-95.27284,"minnesota","minnesota",94074.418584051,1252639.05704606,1875
10134,"MNCHLH",45.590765,-93.06903,"minnesota","minnesota",236972.432076886,1049095.51006458,1854
10135,"MNOTCL",46.165285,-95.32412,"minnesota","minnesota",72526.2581222338,1136196.64939661,1871
10140,"MNCVTL",44.87385,-93.63464,"minnesota","minnesota",182979.152403488,975467.605857048,1855
10142,"MNHBLS",47.33732,-95.16525,"minnesota","minnesota",103914.683005904,1263443.83081385,1879
10144,"MNWSSO",43.90284,-93.417225,"minnesota","minnesota",186355.283264272,866078.761291319,1854
10146,"WILLIAMJ",46.95391,-94.66923,"minnesota","minnesota",134911.885127013,1215770.97350908,1870
10156,"MNHNLL",44.988845,-93.556405,"minnesota","minnesota",190736.788508905,987371.703300735,1855
10169,"MNHNWB",45.00373,-93.574555,"minnesota","minnesota",189531.962237401,989198.010662575,1855
10211,"DEEPLAKE",47.683805,-95.398395,"minnesota","minnesota",92323.5740506272,1304199.96394336,1891
10448,"QUALLY",47.683165,-96.20294,"minnesota","minnesota",32711.6729677821,1313513.21086836,1876
10457,"ITASCALC",47.19285,-95.2339,"minnesota","minnesota",96401.2504811991,1248305.57227712,1875
10457,"ITASCAMB",47.19285,-95.2339,"minnesota","minnesota",96401.2504811991,1248305.57227712,1875
10457,"ITASCAMC",47.19285,-95.2339,"minnesota","minnesota",96401.2504811991,1248305.57227712,1875
10457,"ITASCAMD",47.19285,-95.2339,"minnesota","minnesota",96401.2504811991,1248305.57227712,1875
10457,"ITASCAT2",47.19285,-95.2339,"minnesota","minnesota",96401.2504811991,1248305.57227712,1875
11606,"STEELMN",46.973155,-94.68138,"minnesota","minnesota",134301.508074151,1218022.94818831,1873
11620,"FOXMN",43.6774,-94.698115,"minnesota","minnesota",80958.8465220942,855029.950242677,1858
11855,"LITSHING",46.994015,-94.694575,"minnesota","minnesota",133638.745123474,1220464.21913455,1873
13287,"MADELIA",44.0833333333333,-94.4166666666667,"minnesota","minnesota",109657.907712817,896579.162401865,1854
196,"HELLSKIT",46.183333,-89.7,"wisconsin","wisconsin",503320.187251428,1088350.3016923,1907
197,"LAKEMARY",46.25,-89.9,"wisconsin","wisconsin",488570.756536589,1097003.30085841,1907
281,"BLUMOUND",43.083333,-89.866667,"wisconsin","wisconsin",462142.995999269,745549.409074632,1834
306,"BROWNLK",45.783333,-89.483333,"wisconsin","wisconsin",516515.641425951,1042627.89496804,1907
326,"CAMP12LK",45.986111,-89.375,"wisconsin","wisconsin",526619.417391358,1064495.48933806,1907
531,"DARKLAKE",45.275,-91.475,"wisconsin","wisconsin",356758.938046272,1000213.39674261,1907
663,"DENTONLK",45.85,-89.316667,"wisconsin","wisconsin",529975.097248364,1049040.87155962,1907
666,"DEVILSWI",43.4178,-89.73205,"wisconsin","wisconsin",476056.304345733,781730.52752116,1846
680,"DISTER59",43.916944,-89.166944,"wisconsin","wisconsin",525722.182500445,833581.658372948,1851
680,"DISTRHFT",43.916944,-89.166944,"wisconsin","wisconsin",525722.182500445,833581.658372948,1851
786,"ERNSTPIT",43.233056,-88.041944,"wisconsin","wisconsin",611223.514634631,751638.506981175,1846
833,"GASS",44.05,-87.733333,"wisconsin","wisconsin",641295.111114483,840927.292239302,1834
973,"HANSEN",43.439585,-89.670815,"wisconsin","wisconsin",481187.673336712,783748.448672664,1846
1117,"IOLABOG",44.5,-89.116944,"wisconsin","wisconsin",534454.635219339,897998.139891735,1907
1410,"KELLHOL1",45.3,-90.35,"wisconsin","wisconsin",444723.936510177,994596.812470678,1907
1410,"KELLHOL2",45.3,-90.35,"wisconsin","wisconsin",444723.936510177,994596.812470678,1907
1411,"KELLNERS",44.238056,-87.848056,"wisconsin","wisconsin",633325.771426097,862337.871520861,1846
1593,"LITTLPIN",45.283333,-91.483333,"wisconsin","wisconsin",356204.519762,1001203.00791986,1907
1645,"STWDARK2",45.3,-91.45,"wisconsin","wisconsin",358990.45751041,1002782.54917153,1907
1679,"MENDOTAC",43.1,-89.416667,"wisconsin","wisconsin",498782.725726672,744488.118802167,1834
1679,"MENDOTAD",43.1,-89.416667,"wisconsin","wisconsin",498782.725726672,744488.118802167,1834
1781,"OTTOMLK",45.933333,-89.625,"wisconsin","wisconsin",506876.123818467,1060139.45436709,1907
1944,"RADTKE",43.4,-88.1,"wisconsin","wisconsin",607640.258110912,770452.920813728,1846
2231,"RUBYLAKE",45.283333,-91.458333,"wisconsin","wisconsin",358152.22691493,1001003.07517974,1907
2274,"SEIDEL01",44.45,-87.515556,"wisconsin","wisconsin",661058.891804945,884429.934372421,1846
2274,"SEIDEL02",44.45,-87.515556,"wisconsin","wisconsin",661058.891804945,884429.934372421,1846
2534,"TAMARACK",44.15,-91.45,"wisconsin","wisconsin",345952.20752275,875441.466510828,1851
2937,"WOODLAKE",45.333333,-90.083333,"wisconsin","wisconsin",465839.290126148,996486.90656434,1907
8567,"ADELINE",46.30235,-91.166,"wisconsin","wisconsin",392090.017961711,1111623.90980303,1907
