id,sitename,lat,long,state,altitude,age_bacon,age_bchron,age_default,depth,ASH,BEECH,BIRCH,ELM,HEMLOCK,MAPLE,OAK,OTHER.CONIFER,OTHER.HARDWOOD,PINE,SPRUCE,TAMARACK
3062,BeckmanLake,45.425,-93.183333,minnesota,278,282.522714963141,741.131,352,100,4,0,21,5,2,1,67,3,29,55,5,2
3062,BeckmanLake,45.425,-93.183333,minnesota,278,313.854466184103,814.025,391,110,2,0,16,3,1,1,104,0,22,66,0,0
3062,BeckmanLake,45.425,-93.183333,minnesota,278,345.186217405065,880.495,429,120,1,0,23,6,0,1,96,0,13,47,0,1
272,BigJohnPond,47.559175,-94.970775,minnesota,421,14.8483657144036,23.329,56,15,0,0,12,2,0,0,5,5.5,12,155,8,0
272,BigJohnPond,47.559175,-94.970775,minnesota,421,27.7778709483031,38.326,139,20,1,0,11,3,0,1,8,0,13,192.5,7,2
272,BigJohnPond,47.559175,-94.970775,minnesota,421,53.6440402528509,141.244,695,40,0,0,10,1,0,0,3,1,15,164.5,6,1
272,BigJohnPond,47.559175,-94.970775,minnesota,421,352.074129991304,608.597,973,50,2,0,19,2,0,0,6,4.5,10,235,9.5,1
272,BigJohnPond,47.559175,-94.970775,minnesota,421,1176.00059402694,1378.065,1394,65,0,0,15,0,0,1,11,2.5,13,143.5,12.5,4
272,BigJohnPond,47.559175,-94.970775,minnesota,421,2084.26630664367,2206.514,2131,90,6,0,26,1,0,0,23,2.5,24,151.5,7.5,1
272,BigJohnPond,47.559175,-94.970775,minnesota,421,2530.92839227814,2630.341,2573,105,7,0,24,1,0,0,37,4,19,72.5,6,2
272,BigJohnPond,47.559175,-94.970775,minnesota,421,2835.21682387358,2918.036,2868,115,6,0,36,4,0,0,40,0,31,100.5,3,1
272,BigJohnPond,47.559175,-94.970775,minnesota,421,3145.56883459574,3246.456,3163,125,2,0,24,1,0,0,23,1.5,23,53.5,2.5,0
272,BigJohnPond,47.559175,-94.970775,minnesota,421,3778.40001429348,4037.974,3752,145,3,0,10,4,0,0,10,0,11,41.5,4,1
272,BigJohnPond,47.559175,-94.970775,minnesota,421,5518.68575846227,5191.903,5374,200,2,0,7,1,0,0,28,0.5,13,41,2.5,0
275,BillysLake,46.27058,-94.551555,minnesota,383,-11.6001862870325,-8.632,0,184,2,0,27,3,0,0,26,0,19,58,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,6.14131228262878,8.613,37,190,2,0,32,2,0,1,45,0,27,88,3,0
275,BillysLake,46.27058,-94.551555,minnesota,383,17.9689779957363,18.608,61,194,2,0,46,0,0,0,37,1,17,105,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,35.1345617632503,33.501,98,200,4,0,34,3,0,0,27,0,27,94,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,46.50149563464,43.01,122,204,0,0,43,2,0,0,31,0,31,101,1,0
