"ID","longitude","latitude","altitude","mean.idw.age.2d","sd.idw.age.2d","lower.95.idw.2d","upper.95.idw.2d","mean.idw.age.3d","sd.idw.age.3d","lower.95.idw.3d","upper.95.idw.3d"
285,1708.401628,240.399319,9,11239.9066240005,93.9467458285973,11071.3661374755,11408.2980013492,11297.7458589039,99.1453747194098,11132.7243534568,11468.6139675903
290,1440.067278,681.443583,115.2,10999.9205753919,115.088438819310,10786.4531176267,11195.5256871389,10998.4740378840,116.440827343918,10782.8510595124,11196.0047207205
291,1363.984194,495.243899,113.4,10622.5016380112,234.621109354294,10220.7263810102,10999.2125496801,10622.5016380112,234.621109354294,10220.7263810102,10999.2125496801
297,1330.646654,422.102021,256.8,10880.4972379349,167.984122129614,10588.6004349816,11161.6389727782,11099.4341363318,117.162373533301,10879.2885847893,11309.2867343286
305,1714.260775,413.376606,44.4,11020.2250901434,105.957188876843,10840.0724696500,11195.4992605462,11210.7965080464,84.2997606044704,11062.4907490039,11362.9355617751
310,1407.897511,670.824542,100.2,10986.2074003045,123.805900239188,10761.9807197001,11195.4734061354,10983.2460498623,125.214371642833,10758.0137579873,11194.4583343144
312,168.436952,844.983495,286.8,10790.1827676077,386.247872200225,10133.7307102830,11424.4432246063,10796.0513531683,373.916039247963,10160.2356130051,11412.0809423023
315,55.365415,850.365162,268.2,10796.5003706748,425.355482789899,10077.8557342278,11490.8078149337,10799.3855732854,419.650622353165,10089.5243064849,11485.6018242023
322,1010.499602,940.257064,258,11114.1038849622,66.6465097335917,10982.6287089098,11238.5449489114,11113.4799076182,66.0003497786108,10982.9268063957,11236.518706335
323,857.083889,-255.797962,157.2,11469.0028821084,88.355369908284,11307.1195793235,11647.3091627104,11466.8417110621,86.1302294705975,11310.1878090115,11640.4386757715
330,178.381433,269.016614,190.2,10805.6276320462,58.0530265204735,10699.5849099760,10920.4994154435,10800.4147411349,57.9644112837295,10695.4819670768,10914.6618970537
338,416.579201,638.566278,282,10678.1143221501,68.2326546979915,10548.4332334661,10810.9733006388,10708.4656041424,71.6435999042719,10571.2822393267,10847.7700887611
339,416.579201,638.566278,282,10678.1143221501,68.2326546979915,10548.4332334661,10810.9733006388,10708.4656041424,71.6435999042719,10571.2822393267,10847.7700887611
340,611.443341,526.951772,156.6,10839.2872987682,58.376025787264,10732.4434835243,10948.2824543007,10841.1384244254,58.3083370786192,10734.5938671658,10949.2012418265
347,-530.516785,1037.653452,363,11023.9460773504,108.766107820183,10841.2125720103,11196.8836238476,11023.9460773504,108.766107820183,10841.2125720103,11196.8836238476
349,162.374889,500.374951,186.6,10236.3480643288,88.6718434827237,10093.2625604452,10386.3358080400,10234.0105318865,88.8258930060602,10091.0671179976,10384.0951887466
351,214.317135,567.056794,171.6,10175.6565777422,94.805135283724,10023.2140412517,10336.2632803956,10178.6853772324,94.4360730328654,10026.9018773020,10338.4804772686
354,243.327111,798.190619,231.6,10758.9241010327,248.926418849385,10332.2388924625,11172.6176741819,10761.0443345705,249.967765034662,10332.3010749962,11176.4107130050
