id,SiteName,Handle,Longitude,Latitude,Altitude,GeoPolitic,Chronology,AgeType,AgeModel,AgeBoundYo,AgeBoundOl,X21_18,X18_145,X145_129,X129_115,X115_105,Source,lon_alb_km,lat_alb_km,alt_km,picea_decline_idw_2d_age_mean,picea_decline_idw_2d_age_older,picea_decline_idw_2d_age_younger,picea_decline_depth,picea_decline_age_basis,alnus_decline_idw_2d_age_mean,alnus_decline_idw_2d_age_older,alnus_decline_idw_2d_age_younger,alnus_decline_depth,alnus_decline_age_basis,quercus_rise_idw_2d_age_mean,quercus_rise_idw_2d_age_older,quercus_rise_idw_2d_age_younger,quercus_rise_depth,quercus_rise_age_basis
117,Chatsworth Bog,CHAT2003,-88.343333,40.675833,219,United States,NA,Calibrated radiocarbon years B.P.,linear interpolation,2540,19990,y,y,y,y,y,excel,608.335554,104.329646,131.4,11180,11602,10745,1190,pollen stratigraphic: picea decline idw-2d,11050,11475,10629,1180,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
119,Clear Lake (US:Iowa),CLEARLIA,-93.35,43.15,374,United States,226,Radiocarbon years BP,linear interpolation,-30,13050,n,y,y,y,y,access,202.579834,374.867293,224.4,10599,10716,10487,860,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,10419,10532,10302,920,pollen stratigraphic: quercus rise idw-2d
121,Clear Pond,CLEARPND,-78.953611,33.798611,10,United States,228,Radiocarbon years BP,3rd degree polynomial (least squares),-40,20380,y,y,y,y,y,access,1493.003797,-593.370673,6,15991,16700,15336,654,pollen stratigraphic: picea decline idw-2d,11314,11499,11133,496,pollen stratigraphic: alnus decline idw-2d,17502,18184,16810,714,pollen stratigraphic: quercus rise idw-2d
125,Colo Marsh,COLOMSH,-93.27,42.02,329,United States,236,Radiocarbon years BP,linear interpolation,0,13500,n,y,y,y,y,access,212.538929,241.555237,197.4,10848,10964,10740,198,pollen stratigraphic: picea decline idw-2d,11029,11254,10814,198,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
130,Conroy Lake,CONROYME,-67.8735,46.2912,137,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,10260,13000,n,n,y,y,y,excel,2010.475712,1043.688505,82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10706,11013,10416,599,pollen stratigraphic: quercus rise idw-2d
133,Cottonwood Lake,COTTONWD,-99.906389,44.836111,549,United States,251,Radiocarbon years BP,"linear interpolation, 3rd degree polynomial (least squares)",-20,12330,n,n,y,y,y,access,-290.367541,577.314291,329.4,11676,11990,11354,844,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Cranberry Lake,CRANBER,-78.1,44.1,170,Canada,256,Radiocarbon years BP,linear interpolation,-30,12250,n,n,y,y,y,access,1339.349022,611.153306,102,10931,11187,10665,815,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Crawford Bog,CRAWFBOG,-79.945278,43.471667,268,Canada,NA,Calibrated radiocarbon years B.P.,Linear interpolation,-30,16250,n,y,y,y,y,excel,1215.195939,513.203639,160.8,11504,11790,11202,1200,pollen stratigraphic: picea decline idw-2d,11568,11877,11253,1260,pollen stratigraphic: alnus decline idw-2d,11870,12011,11717,1280,pollen stratigraphic: quercus rise idw-2d
141,Crawford Lake [CA:Ontario],CRAWFDC,-79.947778,43.469444,278,Canada,NA,Calibrated radiocarbon years B.P.,Linear interpolation,-50,11010,n,n,n,n,y,excel,1215.052805,512.912589,166.8,11505,11791,11203,335,pollen stratigraphic: picea decline idw-2d,11568,11878,11253,405,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
145,Crider's Pond,CRIDERS,-77.55,39.966667,290,United States,263,Radiocarbon years BP,linear interpolation,0,15000,y,y,y,y,y,access,1474.417033,139.999383,174,NA,NA,NA,NA,NA,10999,11179,10806,140,pollen stratigraphic: alnus decline idw-2d,11704,11888,11529,120,pollen stratigraphic: quercus rise idw-2d
