"ID","longitude","latitude","altitude","mean.tps.age.2d","sd.tps.age.2d","lower.95.tps.2d","upper.95.tps.2d","mean.tps.age.3d","sd.tps.age.3d","lower.95.tps.3d","upper.95.tps.3d"
107,2531.073003,1144.776065,9,11558.6708034630,182.830884695228,11217.7512527398,11829.7213161042,11634.4567084099,171.245593328302,11302.1536049404,11920.2225169212
114,972.952508,434.522841,162,11332.7461414028,169.811264223145,11073.1280736175,11667.3376066992,11297.4973291451,117.561977079744,11101.6777152599,11541.6314834142
117,608.335554,104.329646,131.4,10975.0403636753,208.677565403836,10620.5232132673,11414.1365890538,11069.7744255685,177.501911794904,10682.6109321177,11354.768265107
119,202.579834,374.867293,224.4,10885.7608182229,183.817350598434,10523.9271571466,11203.1397616268,10742.2316520543,192.870892662087,10371.6008774393,11094.5169497935
121,1493.003797,-593.370673,6,11188.1012236251,200.402801445560,10744.9522316349,11474.9692636847,11310.3528376754,110.213347835442,11118.0809664973,11498.4791867362
125,212.538929,241.555237,197.4,10896.7861608337,189.758409663830,10514.6490789177,11252.2569349132,10803.2315814733,178.197474374815,10475.1812059862,11130.0712818445
130,2010.475712,1043.688505,82.2,11554.9443540013,217.839047761015,11080.6400702167,11977.3746939715,11547.9484232992,113.949046033638,11330.1549739274,11765.7714786685
136,1339.349022,611.153306,102,11634.3038509994,255.638524986441,11225.5406803374,12073.0211884912,11501.0151317167,104.583548047203,11309.3882886111,11705.0798912513
140,1215.195939,513.203639,160.8,11530.8167209363,235.540453144926,11174.8578399087,11945.2408035213,11412.2843345477,169.422835431635,11149.3123093413,11771.5090135657
141,1215.052805,512.912589,166.8,11530.4478440269,235.422741828603,11174.7864180436,11944.8650057043,11392.9124250006,167.391733304010,11131.2455089814,11743.0339933734
145,1474.417033,139.999383,174,10767.1886173799,290.691676030927,10294.4794179614,11248.7054660428,11200.4925601948,125.513237501103,10961.0077199328,11434.0119682682
147,486.651656,755.23946,311.4,11163.9669107155,207.549444542616,10736.1803271284,11547.0419212682,10605.8912945496,212.707218253542,10168.9559520704,10990.1429623608
150,591.929384,287.786121,163.8,11023.3067980275,127.526782604835,10754.3696093946,11254.2997719014,11054.4572926915,113.621596402324,10812.6183758206,11249.5175077309
153,413.14534,-365.991768,146.4,10856.2104455153,354.7031577852,10255.5336247416,11684.4305171960,10783.6031949486,193.905491027131,10375.4677107195,11104.1915172784
157,1410.420841,432.097217,343.2,11447.0203792654,165.107749125062,11184.3916393863,11744.8754087744,10542.4955718865,210.657835927954,10148.6604257945,10908.7123942708
160,1402.780432,493.956016,118.8,11536.8677905224,205.505343340273,11199.8521922741,11889.0671953695,11459.0314019900,114.365905427295,11261.5769518384,11695.5718336376
162,1188.218993,480.083113,156,11481.3307314046,220.016024213060,11155.3384495981,11881.800809975,11421.997786925,175.462682145626,11158.2480040404,11810.1622699656
168,830.197856,462.385184,160.8,11328.6535350777,178.36717393526,11048.649114589,11713.9212021158,11257.1896126358,99.624706986439,11070.3904385856,11449.550172154
172,477.191546,420.610073,176.4,11235.5388591094,223.020188469533,10931.1484575739,11779.6409770954,11122.7102119438,119.067783967617,10898.2855429786,11353.0629336641
177,515.440595,481.274435,146.4,11274.8940447678,231.930823026610,10950.9756194215,11842.1634137068,11191.0761151763,116.427184528832,10966.1593591358,11412.3221071629
178,1340.319442,483.94712,143.4,11513.7628323199,207.199226180334,11187.8998789571,11868.0779369904,11435.6622147818,147.245780333145,11195.4611260011,11739.5242002310
198,484.210426,465.233252,162,11254.7551222915,230.242686251724,10941.6667320288,11813.2424047982,11147.5510031325,117.351378728551,10924.1790083188,11377.1691852777
199,1029.211443,298.668979,100.8,11087.3224770427,139.298048609387,10786.7993428901,11330.4097226942,11362.8185003299,96.627259324708,11178.9357882931,11550.0459678166
202,1778.261072,1138.329128,183,11551.4942066847,303.863679794029,10859.6708437981,12150.0590412856,11346.5814459912,135.419275536544,11088.1703618326,11616.6271862326
203,1152.401148,230.79479,193.2,10929.0210671299,196.346400256696,10539.4045962921,11229.3469320415,11138.1459072269,111.572950937210,10938.6016304465,11363.2393123109
209,1216.867385,746.024701,199.8,11646.7689547285,271.138674436911,11231.9038632906,12147.0193292293,11282.7147116185,138.180970555307,11044.1741475886,11570.3591960292
218,955.67651,337.564449,162.6,11156.986967708,129.654332170706,10898.5958445635,11408.1882155797,11237.9829146422,101.219788767144,11063.9340704080,11437.9139557880
223,1906.782211,383.724264,16.8,11485.2703182274,181.763261119667,11202.0204922576,11862.7236710640,11569.5832059851,91.1902907589081,11387.6537232528,11738.1555223617
224,997.631533,77.488189,192,10661.4006999081,300.480243633673,10156.6233151363,11149.3814527044,10994.6516617991,95.3401123597577,10813.8191200743,11181.1416996358
227,621.962462,505.553041,126.6,11321.315642804,223.280398565508,10998.7827727394,11833.2515015809,11277.7110970255,112.062776245437,11055.1506163724,11486.2174986430
235,1590.114519,893.752968,219,11651.9153139779,249.704481621781,11269.3035313702,12156.1954873354,11248.7899430872,149.408236360439,10979.6104786407,11543.9917215603
237,1564.614081,881.71277,283.8,11656.8136733073,251.28352693546,11278.0920396949,12165.5536080955,10986.4281929083,170.212035325242,10675.9846101938,11310.6144977500
246,484.911196,751.647821,313.2,11163.1668900477,206.832595080081,10735.5234746245,11545.5290480838,10596.8696360138,214.242444863024,10158.6380676817,10982.3498700830
250,1953.050255,865.424247,53.4,11601.7687958993,161.052011393152,11349.3483081003,11912.1699134000,11586.0543905284,102.194933544408,11383.4412156951,11782.6822140413
252,1369.729389,747.534452,228.6,11673.2865318084,264.847509851409,11260.6825192228,12169.6829729911,11199.4874485312,148.889166781819,10944.5118240867,11502.6941990743
256,806.789532,623.27397,183,11448.0953836461,231.899684422957,11095.0799274795,11939.0837437850,11218.8326712722,109.816335162292,11012.6077227024,11433.3066728733
270,1401.715066,-111.388081,281.4,10213.1357331699,583.368025498477,9374.65933433033,11171.5004957376,10558.9126469909,193.650452146485,10221.8243307853,10888.1659422816
272,1184.639689,479.887822,180.6,11480.0283851951,219.852463482556,11154.9275173316,11880.1195104618,11327.9596117191,156.531392262229,11078.0496702883,11651.5865856326
273,480.98881,421.544662,228.6,11238.2797269991,223.802119447357,10935.7700608828,11782.1692614155,10860.8437295674,132.401664593343,10592.4137013834,11112.2291206674
