"handle","name","dataset_id","type","geo_age","cc"
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",208,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",795,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",1140,0
"LKCLDSH","Lake of the Clouds",3482,"Presettlement_paleon",71,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",1502,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",1815,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",2312,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",2751,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",3168,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",3624,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",4102,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",4518,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",5022,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",5513,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",5983,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",6379,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",6699,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",7005,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",7362,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",7721,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",8121,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",8491,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",8872,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",8986,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9063,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9131,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9197,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9242,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9325,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9375,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9447,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9501,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9513,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9557,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9600,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9617,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",9709,0
"LKCLDSH","Lake of the Clouds",3482,"Annual laminations (v",10050,0
"MARTINPD","Martin Pond",1708,"Core top_4611",0,0
"MARTINPD","Martin Pond",1708,"Presettlement_paleon",72,0
"MCCRANEY","McCraney Lake",1720,"Core top_4668",-15,0
"MCCRANEY","McCraney Lake",1720,"Presettlement_paleon",75,0
"MINNIEN","Lake Minnie",1757,"Core top_4754",0,0
"MINNIEN","Lake Minnie",1757,"Presettlement_paleon",72,0
"MINNIEO","Lake Minnie",3492,"Core top_8116",0,0
"MINNIEO","Lake Minnie",3492,"Presettlement_paleon",72,0
"MINNIEO","Lake Minnie",3492,"Radiocarbon_8118",3400,1
"MINNIEO","Lake Minnie",3492,"Radiocarbon_8119",8140,1
"MUDLKMN1","Mud Lake",1777,"Core top_4877",-15,0
"MUDLKMN1","Mud Lake",1777,"Presettlement_paleon",95,0
"MUDLKMN2","Mud Lake (US:Minnesota:Hubbard)",1778,"Core top_4879",-30,0
"MUDLKMN2","Mud Lake (US:Minnesota:Hubbard)",1778,"Radiocarbon_rc_4880",90,1
"MUDLKMN2","Mud Lake (US:Minnesota:Hubbard)",1778,"Presettlement_paleon",79,0
"MUDLKMN2","Mud Lake (US:Minnesota:Hubbard)",1778,"Radiocarbon_rc_4881",2250,1
"MUDLKMN2","Mud Lake (US:Minnesota:Hubbard)",1778,"Radiocarbon_rc_4882",2870,1
"MURPHY","Murphy Lake",1781,"Core top_4893",-15,0
"MURPHY","Murphy Lake",1781,"Presettlement_paleon",96,0
"MYRTLE","Myrtle Lake",1786,"Core top_4908",0,0
"MYRTLE","Myrtle Lake",1786,"Presettlement_paleon",67,0
"MYRTLE","Myrtle Lake",1786,"Radiocarbon_4910",2680,1
"MYRTLE","Myrtle Lake",1786,"Radiocarbon_4911",4840,1
"MYRTLE","Myrtle Lake",1786,"Radiocarbon_4912",7850,1
"MYRTLE","Myrtle Lake",1786,"Radiocarbon_4913",10150,1
"MYRTLE","Myrtle Lake",1786,"Radiocarbon_4914",11120,1
"NELSONPD","Nelson Pond",1794,"Radiocarbon_4987",5540,1
"NELSONPD","Nelson Pond",1794,"Radiocarbon_4988",7245,1
"ONAMIA","Lake Onamia",1830,"Core top_5143",-15,0
"ONAMIA","Lake Onamia",1830,"Presettlement_paleon",80,0
"ONDRISPD","Ondris Pond",1831,"Core top_5148",-15,0
"ONDRISPD","Ondris Pond",1831,"Radiocarbon_5149",660,1
"ONDRISPD","Ondris Pond",1831,"Presettlement_paleon",80,0
"ONDRISPD","Ondris Pond",1831,"Radiocarbon_5150",1535,1
"PGONIABG","Pogonia Bog Pond",3541,"Core top_8180",-24,0
"PGONIABG","Pogonia Bog Pond",3541,"Presettlement_paleon",95,0
"POGONIA","Pogonia Bog Pond",3558,"Core top_8209",-24,0
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_rc_8210",100,1
"POGONIA","Pogonia Bog Pond",3558,"Presettlement_paleon",95,0
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_rc_8211",260,1
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_rc_8212",2550,1
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_rc_8213",3620,1
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_rc_8214",6250,1
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_rc_8215",10330,1
"POGONIA","Pogonia Bog Pond",3558,"Radiocarbon_8216",11190,1
"THRDBGW","Third Lake",3788,"Core top_8426",50,0
"THRDBGW","Third Lake",3788,"Presettlement_paleon",50,0
"PENNINGT","Pennington Lake",1884,"Core top_5333",-15,0
"PENNINGT","Pennington Lake",1884,"Presettlement_paleon",93,0
"PETERSL","Peterson Slough",1891,"Core top_5368",-30,0
"PETERSL","Peterson Slough",1891,"Radiocarbon_rc_5369",110,1
"PETERSL","Peterson Slough",1891,"Presettlement_paleon",72,0
"PETERSL","Peterson Slough",1891,"Radiocarbon_rc_5370",3010,1
"PLEASAMN","Pleasant Lake",1955,"Core top_5432",-15,0
"PLEASAMN","Pleasant Lake",1955,"Presettlement_paleon",95,0
"PORTAGE","Portage Lake",1966,"Core top_5481",0,0
"PORTAGE","Portage Lake",1966,"Presettlement_paleon",77,0
"PORTAGE","Portage Lake",1966,"Radiocarbon_5482",3685,1
"PORTAGE","Portage Lake",1966,"Radiocarbon_5483",7320,1
"PORTAGE","Portage Lake",1966,"Radiocarbon_5484",9780,1
"REICHOW","Reichow Pond",2051,"Core top_5860",-15,0
"REICHOW","Reichow Pond",2051,"Presettlement_paleon",79,0
"REIDEL","Reidel Lake",2053,"Core top_5870",-34,0
"REIDEL","Reidel Lake",2053,"Presettlement_paleon",79,0
"REIDEL","Reidel Lake",2053,"Radiocarbon_rc_5872",1680,1
"REIDEL","Reidel Lake",2053,"Radiocarbon_rc_5873",3310,1
"REIDEL","Reidel Lake",2053,"Radiocarbon_rc_5874",5440,1
"REIDEL","Reidel Lake",2053,"Radiocarbon_rc_5875",8360,1
"REIDEL","Reidel Lake",2053,"Radiocarbon_rc_5876",10290,1
"REIDEL","Reidel Lake",2053,"Radiocarbon_5877",11630,1
"RHOLL","Rholl Lake",2062,"Core top_5902",-15,0
"RHOLL","Rholl Lake",2062,"Presettlement_paleon",78,0
"RICEMNB","Rice Lake",3568,"Core top_8314",-18,0
"RICEMNB","Rice Lake",3568,"Radiocarbon_rc_8316",1930,1
"ROSSBURG","Rossburg Bog",2290,"Core top_6058",2000,0
"ROSSBURG","Rossburg Bog",2290,"Radiocarbon_6059",3500,1
"ROSSBURG","Rossburg Bog",2290,"Radiocarbon_6060",7770,1
"ROSSBURG","Rossburg Bog",2290,"Radiocarbon_6061",10100,1
"RUTZLAKE","Rutz Lake",2314,"Core top_6206",-15,0
"RUTZLAKE","Rutz Lake",2314,"Presettlement_paleon",95,0
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_rc_6208",420,1
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_rc_6209",1960,1
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_rc_6210",3280,1
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_rc_6211",4920,1
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_rc_6212",7870,1
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_rc_6213",9410,1
"RUTZLAKE","Rutz Lake",2314,"Radiocarbon_6214",12000,1
"SEDIVY","Sedivy Lake",2354,"Core top_6407",-15,0
"SEDIVY","Sedivy Lake",2354,"Presettlement_paleon",79,0
"SHAGAWA","Shagawa Lake",2375,"Core top_6487",-20,0
"SHAGAWA","Shagawa Lake",2375,"Presettlement_paleon",66,0
"SHAGAWA","Shagawa Lake",2375,"Radiocarbon_6494",1935,1
"SILVERMN","Silver Lake",2383,"Core top_6567",-15,0
"SILVERMN","Silver Lake",2383,"Presettlement_paleon",94,0
"SISEEBA","Siseebakwet South",2394,"Core top_6641",-32,0
"SISEEBA","Siseebakwet South",2394,"Presettlement_paleon",81,0
"SOLUM","Solum Lake",2581,"Core top_6703",-15,0
"SOLUM","Solum Lake",2581,"Presettlement_paleon",80,0
"SOSTANCH","South Stanchfield Lake",2584,"Core top_6714",-15,0
"SOSTANCH","South Stanchfield Lake",2584,"Presettlement_paleon",98,0
"SPECTACL","Spectacle Lake",2585,"Core top_6716",-15,0
"SPECTACL","Spectacle Lake",2585,"Presettlement_paleon",93,0
"STCATHER","St. Catherines Lake",2600,"Core top_6803",-15,0
"STCATHER","St. Catherines Lake",2600,"Presettlement_paleon",95,0
"STONE","Stone Lake",2605,"Core top_6810",-15,0
"STONE","Stone Lake",2605,"Presettlement_paleon",95,0
"SUNFISH","Sunfish Lake",2613,"Core top_6864",-15,0
"SUNFISH","Sunfish Lake",2613,"Presettlement_paleon",97,0
"TERHELL","Quallen Lake [Terhell Pond]",2638,"Core top_7022",-10,0
"TERHELL","Quallen Lake [Terhell Pond]",2638,"Presettlement_paleon",79,0
"TERHELL","Quallen Lake [Terhell Pond]",2638,"Radiocarbon_7024",4270,1
"THOMPSON","Thompson Pond",2640,"Core top_7033",0,0
"THOMPSON","Thompson Pond",2640,"Presettlement_paleon",79,0
"TOENJES","Toenjes Lake",2648,"Core top_7080",-15,0
"TOENJES","Toenjes Lake",2648,"Presettlement_paleon",94,0
"TWINMN1","Twin Lakes",2881,"Core top_7204",-15,0
"TWINMN1","Twin Lakes",2881,"Presettlement_paleon",95,0
"UPGRAVEN","Upper Graven Lake",2888,"Core top_7239",-34,0
"UPGRAVEN","Upper Graven Lake",2888,"Presettlement_paleon",79,0
"UPGRAVEN","Upper Graven Lake",2888,"Radiocarbon_rc_7241",940,1
"UPGRAVEN","Upper Graven Lake",2888,"Radiocarbon_rc_7242",3490,1
"UPGRAVEN","Upper Graven Lake",2888,"Radiocarbon_rc_7243",7740,1
"UPGRAVEN","Upper Graven Lake",2888,"Radiocarbon_rc_7244",10310,1
"WEBERLK","Weber Lake",3837,"Core top_8454",10,0
"WEBERLK","Weber Lake",3837,"Presettlement_paleon",56,0
"WENTZEL","Wentzel's Pond",2948,"Core top_7405",-30,0
"WENTZEL","Wentzel's Pond",2948,"Radiocarbon_rc_7406",155,1
"WENTZEL","Wentzel's Pond",2948,"Presettlement_paleon",77,0
"WENTZEL","Wentzel's Pond",2948,"Radiocarbon_rc_7407",365,1
"WENTZEL","Wentzel's Pond",2948,"Radiocarbon_rc_7408",2425,1
"WHITLIL1","White Lily Lake",2952,"Core top_7429",-15,0
"WHITLIL1","White Lily Lake",2952,"Presettlement_paleon",95,0
"WILWRDPD","Willow River Pond",2956,"Radiocarbon_7459",5160,1
"WILWRDPD","Willow River Pond",2956,"Radiocarbon_7460",7890,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7494",9150,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7495",10080,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7496",10534,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7497",11040,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7498",11270,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7499",11722,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7500",12240,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7501",13350,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7502",13510,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7503",13670,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7504",14720,1
"WOLFCRK","Wolf Creek",3029,"Radiocarbon_7505",20500,1
"WOLSFELD","Wolsfeld Lake",3031,"Core top_16252",-25,0
"WOLSFELD","Wolsfeld Lake",3031,"Presettlement_paleon",95,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16259",335,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16260",433,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16261",2242,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16262",3402,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16263",3776,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16264",5836,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16265",6910,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16266",8268,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16267",11636,0
"WOLSFELD","Wolsfeld Lake",3031,"Radiocarbon_cal_16268",13864,0
"SOUHERON","South Heron Lake",10970,"Core top_16306",-13,0
"SOUHERON","South Heron Lake",10970,"Presettlement_paleon",92,0
"OCHEDA","Ocheda Lake",10971,"Core top_16308",-13,0
"OCHEDA","Ocheda Lake",10971,"Presettlement_paleon",82,0
"BLOMFORD","Blomford Lake",10973,"Core top_16334",-30,0
"BLOMFORD","Blomford Lake",10973,"Presettlement_paleon",96,0
"FAWNANMN","Fawn Lake",10974,"Core top_16336",-30,0
"FAWNANMN","Fawn Lake",10974,"Presettlement_paleon",95,0
"FROVOLD","Frovold Lake",10975,"Core top_16338",-30,0
"FROVOLD","Frovold Lake",10975,"Presettlement_paleon",83,0
"GOOSEMN","Goose Lake",10976,"Core top_16340",-28,0
"GOOSEMN","Goose Lake",10976,"Presettlement_paleon",94,0
"OLSONMN","Olson Lake",10977,"Core top_16342",-28,0
"OLSONMN","Olson Lake",10977,"Presettlement_paleon",80,0
"RNDGROVE","Round Grove Lake",10983,"Core top_16361",-28,0
"RNDGROVE","Round Grove Lake",10983,"Presettlement_paleon",95,0
"MNLYC2","Cottonwood Lake",12005,"Core top_17389",-20,0
"MNLYC2","Cottonwood Lake",12005,"Presettlement_paleon",86,0
"MONSON","Monson Lake",12006,"Core top_17391",-30,0
"MONSON","Monson Lake",12006,"Presettlement_paleon",93,0
"DEANS","Deans Lake",12007,"Core top_17393",-29,0
"DEANS","Deans Lake",12007,"Presettlement_paleon",96,0
"EMILY","Lake Emily",12008,"Core top_17395",-29,0
"EMILY","Lake Emily",12008,"Presettlement_paleon",96,0
"PERCHMN","Perch Lake",12009,"Core top_17397",-29,0
"PERCHMN","Perch Lake",12009,"Presettlement_paleon",79,0
"CHUBLAKE","Chub Lake",12010,"Core top_17399",-29,0
"CHUBLAKE","Chub Lake",12010,"Presettlement_paleon",96,0
"MNDLLR","Lake Rachel",12011,"Core top_17401",-30,0
"MNDLLR","Lake Rachel",12011,"Presettlement_paleon",84,0
"ZIEBELL","Ziebell Lake",12012,"Core top_17403",-32,0
